Time,Minutes,Position,Foresail,Staysail,Staysail2,Mainsail,Reef,Tank,Type,Auto,Comment
29-Apr-2026 18:15:03,8.3,40 42.4990n 074 01.8517w,,,,,,,Gun,Yes,3.62 below line; 82.9%
29-Apr-2026 18:53:03,38.0,40 42.5182n 074 01.9415w,,,,,,,Gun,Yes,4.93 below line; 107.4%
29-Apr-2026 20:09:22,76.3,40 42.6251n 074 02.5936w,A2,,,,0,,Sails up,No,Hoist A2
06-May-2026 12:26:12,9616.8,40 42.6234n 074 02.5951w,,,,,,,Gun,Yes,-80.55 below line; 0.0%
06-May-2026 13:06:25,40.2,40 42.6244n 074 02.5928w,,,,,,,Gun,Yes,-77.90 below line; 0.0%
06-May-2026 15:12:24,126.0,40 42.6250n 074 02.5947w,,,,,,,Gun,Yes,434.39 below line; 0.0%
06-May-2026 15:25:53,13.5,40 42.6250n 074 02.5951w,,,,,,,Gun,Yes,434.52 below line; 0.0%
06-May-2026 17:58:13,152.3,40 42.5007n 074 01.8552w,,,,,,,Line port,Yes,
06-May-2026 18:20:01,21.8,40 42.5296n 074 01.9154w,,,,,,,Gun,Yes,37.96 below line; 117.4%
06-May-2026 19:01:02,41.0,40 42.5224n 074 01.9019w,,,,,,,Gun,Yes,25.88 below line; 72.2%
16-May-2026 10:25:17,13884.2,40 42.6244n 074 02.5936w,,,,,,,Other,Yes,Driver: Blaine Davis
16-May-2026 10:27:43,2.4,40 42.6246n 074 02.5931w,J1,,,,0,,Sails up,No,Hoist J1
16-May-2026 11:19:45,52.0,40 40.5920n 074 01.5739w,,,,,,,Line port,Yes,
16-May-2026 11:27:24,7.6,40 40.7899n 074 01.7282w,,,,,,,Line starboard,Yes,
16-May-2026 11:27:26,0.0,40 40.7893n 074 01.7242w,,,,,,,Line starboard,Yes,
16-May-2026 11:28:46,1.3,40 40.7942n 074 01.6566w,,,,,,,Gun,Yes,85.28 below line; 59.4%
16-May-2026 11:40:13,11.4,40 39.9817n 074 02.5793w,J1,,,,0,,Sails up,No,Hoist J1
16-May-2026 11:41:32,1.3,40 39.8444n 074 02.6800w,,,,,,,Other,Yes,Jib Trimmer: Blaine Davis
16-May-2026 11:41:36,0.1,40 39.8383n 074 02.6819w,,,,,,,Other,Yes,Speed Person: Melih Bagdatli
16-May-2026 11:41:47,0.2,40 39.8206n 074 02.6984w,,,,,,,Other,Yes,Driver: Katrina Flora
16-May-2026 11:41:59,0.2,40 39.8005n 074 02.7168w,,,,,,,Other,Yes,Foredeck: Annelise Perrin
16-May-2026 11:42:08,0.2,40 39.7855n 074 02.7291w,,,,,,,Other,Yes,Main Trimmer: Melih Bagdatli
16-May-2026 11:42:15,0.1,40 39.7768n 074 02.7383w,,,,,,,Other,Yes,Pit: Blaine Davis
16-May-2026 11:46:40,4.4,40 39.2811n 074 03.0117w,A2,,,,0,,Sails up,No,Hoist A2
16-May-2026 12:02:59,16.3,40 39.7732n 074 01.5990w,,,,,,,Gun,Yes,-790.66 below line; 89.4%
16-May-2026 12:09:10,6.2,40 39.8912n 074 01.5563w,J1,,,,0,,Sails up,No,Hoist J1
16-May-2026 13:34:08,85.0,40 40.7987n 074 01.7159w,,,,,,,Line starboard,Yes,
16-May-2026 13:34:10,0.0,40 40.7948n 074 01.7149w,,,,,,,Line port,Yes,
16-May-2026 13:34:11,0.0,40 40.7941n 074 01.7148w,,,,,,,Line port,Yes,
16-May-2026 14:05:31,31.3,40 40.8409n 074 01.7115w,,,,,,,Gun,Yes,20.25 below line; 76.9%
16-May-2026 14:12:38,7.1,40 40.8230n 074 01.7030w,,,,,,,Gun,Yes,25.64 below line; 92.3%
16-May-2026 14:21:19,8.7,40 40.8042n 074 01.6865w,,,,,,,Gun,Yes,41.84 below line; 102.0%
16-May-2026 14:27:11,5.9,40 40.7927n 074 01.6427w,,,,,,,Gun,Yes,97.75 below line; 75.8%
16-May-2026 14:27:52,0.7,40 40.7288n 074 01.6066w,,,,,,,Line port,Yes,
16-May-2026 14:33:14,5.4,40 40.8666n 074 01.7787w,,,,,,,Gun,Yes,38.74 below line; 90.7%
17-May-2026 10:27:48,1194.6,40 42.6459n 074 02.5958w,,,,,,,Other,Yes,Driver: James Bistis
17-May-2026 10:27:55,0.1,40 42.6459n 074 02.5958w,,,,,,,Other,Yes,Foredeck: Aidan Di Salvo
17-May-2026 10:28:04,0.2,40 42.6459n 074 02.5958w,,,,,,,Other,Yes,Tactician: Blaine Davis
17-May-2026 10:34:52,6.8,40 42.6455n 074 02.5955w,,,,,,,Other,Yes,Driver: Blaine Davis
17-May-2026 10:35:12,0.3,40 42.6455n 074 02.5955w,J2,,,,0,,Sails up,No,Hoist J2
17-May-2026 10:48:23,13.2,40 42.6453n 074 02.5958w,,,,,,,Gun,Yes,1816.82 below line; 0.0%
17-May-2026 10:54:40,6.3,40 42.6457n 074 02.5958w,J1,,,,0,,Sails up,No,Hoist J1
17-May-2026 11:05:52,11.2,40 42.6453n 074 02.5966w,,,,,,,Gun,Yes,1816.76 below line; 0.0%
17-May-2026 11:06:11,0.3,40 42.6453n 074 02.5966w,,,,,,,Gun,Yes,1816.72 below line; 0.0%
17-May-2026 11:24:11,18.0,40 42.0107n 074 01.8136w,J1,,,,0,,Sails up,No,Hoist J1
17-May-2026 12:32:08,67.9,40 42.4048n 074 01.5959w,,,,,,,Other,Yes,Driver: James Bistis
17-May-2026 12:45:12,13.1,40 42.0601n 074 01.6374w,',',',,0,,Sails up,No,Drop all sails
17-May-2026 12:45:20,0.1,40 42.0568n 074 01.6474w,,,,,,,Other,Yes,Comment
17-May-2026 12:55:56,10.6,40 41.7827n 074 02.0421w,,Spinnaker Staysail,,,0,,Sails up,No,Hoist staysail Spinnaker Staysa
17-May-2026 12:56:09,0.2,40 41.7706n 074 02.0383w,,Spinnaker Staysail,,',0,,Sails up,No,Drop main
17-May-2026 12:56:23,0.2,40 41.7581n 074 02.0356w,,Spinnaker Staysail,,',0,,Sails up,No,Drop main
17-May-2026 13:05:54,9.5,40 41.6348n 074 02.0351w,,,,,,,Line starboard,Yes,
17-May-2026 13:06:55,1.0,40 41.6308n 074 02.0029w,,,,,,,Line starboard,Yes,
17-May-2026 13:08:58,2.0,40 41.6331n 074 01.9009w,,,,,,,Line port,Yes,
17-May-2026 13:18:46,9.8,40 41.6329n 074 01.9653w,,,,,,,Gun,Yes,-3.91 below line; 127.7%
