Time,Minutes,Position,Foresail,Staysail,Staysail2,Mainsail,Reef,Tank,Type,Auto,Comment
20-Mar-2026 16:42:27,,26 46.3063n 080 03.2452w,A2,,,,0,0,Sails up,No,
20-Mar-2026 19:40:11,177.7,26 46.3055n 080 03.2417w,,,,,,,Gun,Yes,-61148.82 below line; 0.0%
21-Mar-2026 00:19:29,279.3,26 46.3054n 080 03.2452w,,,,,,,Gun,Yes,-61143.90 below line; 0.0%
21-Mar-2026 00:24:09,4.7,26 46.3067n 080 03.2448w,,,,,,,Gun,Yes,-61146.03 below line; 0.0%
21-Mar-2026 00:26:16,2.1,26 46.3069n 080 03.2452w,,,,,,,Gun,Yes,-61146.49 below line; 0.0%
21-Mar-2026 00:29:13,3.0,26 46.3079n 080 03.2448w,,,,,,,Gun,Yes,-61145.90 below line; 0.0%
21-Mar-2026 00:36:38,7.4,26 46.3087n 080 03.2456w,,,,,,,Gun,Yes,-61145.95 below line; 0.0%
21-Mar-2026 07:29:09,412.5,26 46.3058n 080 03.2440w,,,,,,,Gun,Yes,-61145.86 below line; 0.0%
21-Mar-2026 10:56:31,207.4,26 46.3066n 080 03.2440w,,,,,,,Gun,Yes,-61145.55 below line; 0.0%
21-Mar-2026 11:42:43,46.2,26 46.3004n 080 03.2434w,,,,,,,Line port,Yes,
21-Mar-2026 11:42:43,0.0,26 46.3004n 080 03.2434w,,,,,,,Line port,Yes,
21-Mar-2026 11:42:43,0.0,26 46.3004n 080 03.2434w,,,,,,,Line port,Yes,
21-Mar-2026 11:42:43,0.0,26 46.3004n 080 03.2434w,,,,,,,Line port,Yes,
21-Mar-2026 11:42:44,0.0,26 46.3004n 080 03.2434w,,,,,,,Line port,Yes,
21-Mar-2026 11:42:44,0.0,26 46.3004n 080 03.2434w,,,,,,,Line port,Yes,
21-Mar-2026 12:39:05,56.3,26 46.2995n 080 03.2426w,,,,,,,Line port,Yes,
21-Mar-2026 12:39:06,0.0,26 46.2995n 080 03.2426w,,,,,,,Line port,Yes,
26-Mar-2026 11:04:51,7105.8, ,,,,,,,SART,Yes,EPIRB ACTIVE 974572966T26DA7E282C3FDFF;974572966
27-Mar-2026 02:03:24,898.6, ,,,,,,,SART,Yes,EPIRB ACTIVE 974017911EPIRB TEST;974017911
16-Apr-2026 08:20:23,29177.0,29 19.1992n 080 03.8813w,,,,,,,Line port,Yes,
16-Apr-2026 08:20:26,0.0,29 19.2046n 080 03.8812w,,,,,,,Line starboard,Yes,
16-Apr-2026 08:21:12,0.8,29 19.3008n 080 03.8837w,,,,,,,Line port,No,Port ping
16-Apr-2026 08:22:35,1.4,29 19.4766n 080 03.8864w,,,,,,,Line starboard,No,Starboard ping
16-Apr-2026 09:31:50,69.3,29 28.3553n 080 04.1107w,,,,,,,Gun,Yes,3962.28 below line; 202.1%
16-Apr-2026 10:21:06,49.3,29 34.8227n 080 04.0789w,,,,,,,Gun,Yes,181.0%
28-Apr-2026 19:49:13,17848.1, ,,,,,,,Gun,Yes,
29-Apr-2026 17:14:10,1285.0,40 42.6253n 074 02.5943w,,,,,,,Gun,Yes,434.33 below line; 0.0%
29-Apr-2026 18:01:48,47.6,40 42.5776n 074 01.6973w,,,,,,,Gun,Yes,-68.01 below line; 56.9%
29-Apr-2026 18:03:57,2.2,40 42.4853n 074 01.8212w,,,,,,,Line port,Yes,
29-Apr-2026 18:06:47,2.8,40 42.5091n 074 01.9216w,,,,,,,Line starboard,Yes,
